,POI Total,POI Lifestyle,POI Business/Residential,POI Food/Beverage,Charge Count,zone_mean_pred,zone_mean_actual
977,-0.03508062,-0.031427424,-0.018134449,-0.051359307,-0.009100523,0.14310342,0.16958621
979,-0.0064012976,-0.044953085,0.006186981,-0.00061419234,-0.025997646,0.2678444,0.22416995
981,-0.025690882,-0.012667576,-0.018337557,0.0022889082,-0.005144766,0.2680963,0.3872254
982,0.0033729435,-0.011738073,-0.003537757,0.0023883842,-0.021591656,0.31702492,0.28795078
983,0.011068076,-0.032713216,-0.0110851405,0.005798243,-0.039248217,0.24740559,0.29355434
984,-0.0056483424,-0.0291628,0.00393142,0.00092200376,-0.039176863,0.22897793,0.16109283
986,-0.007957514,-0.02240353,0.007551563,-0.02630273,-0.0056277015,0.28973114,0.31556645
987,-0.008919911,-0.012149623,0.023917312,-0.02275695,-0.013019221,0.34015924,0.20672289
988,-0.0108521925,-0.026095469,-0.005062668,-0.04004729,-0.0027415764,0.22435892,0.2368935
989,0.0022985365,0.014824282,0.017923925,0.022933083,-0.0121463565,0.41420653,0.46260917
991,-0.0008186163,-0.027673557,0.025585972,-0.021389397,-0.021038098,0.34692627,0.27051198
996,0.0036364496,-0.010027676,0.010835662,0.012975883,-0.018136205,0.33275518,0.34818608
998,0.01161457,-0.014984064,-0.0024395564,-0.019144217,-0.022715017,0.28709018,0.3012114
1000,0.006156283,-0.01400664,0.0031688304,-0.0223256,-0.00891813,0.29830244,0.21222217
1009,-0.014647681,0.022027766,-0.02282222,-0.021329578,0.001301544,0.29182294,0.3376175
1011,-0.0021175772,0.05099366,0.011109475,-0.0077621965,0.028383475,0.4628432,0.37385455
1015,0.008171779,0.018327566,0.0403876,0.015728593,0.010804764,0.45728308,0.4735125
1026,0.023524288,-0.01861993,0.010454736,0.014574886,0.008578324,0.39437607,0.36360952
1029,-0.01269661,0.0010792948,0.028978704,-0.017296106,0.010642883,0.3754774,0.4566655
1031,0.0006921698,-0.026610916,0.020993209,0.0056767883,0.010598307,0.33464393,0.33534116
1043,-0.019820241,-0.07108256,0.009239734,-0.0025241652,0.0021528176,0.23710956,0.2571658
1049,0.022455033,-0.027171757,0.0018135313,0.007887034,0.008661754,0.34964848,0.3074486
1060,-0.015724802,-0.05084862,-0.066623315,-0.022352414,-0.028231667,0.14167216,0.20417519
1061,0.008957771,-0.009023593,-0.004872941,0.00919783,-0.0049207797,0.32582977,0.3422393
1062,-0.019631997,-0.002014203,-0.0089920405,-0.024915624,0.0026854586,0.27919012,0.3475545
1066,0.007319297,0.06434853,-0.0026249364,-0.012724453,-0.0015878711,0.40320396,0.29678226
1067,0.048542496,0.049895085,0.027326787,-0.008959186,0.009316727,0.5107478,0.5708606
1068,0.0036862076,0.06903384,-0.0012831348,-0.013658892,0.022575919,0.43967038,0.42398402
1071,-0.026968017,0.021282554,-0.042184524,-0.0077176783,0.0023209488,0.27771148,0.33322003
1072,7.8235054E-05,-0.016683755,0.0032169833,-0.020967104,0.00046179208,0.31870672,0.30420637
1074,-0.00736449,0.018204438,0.008691504,-0.016225688,0.010254911,0.34915036,0.28986076
1075,-0.0036430699,-0.005840287,0.007865209,-0.017599816,-0.014326179,0.31406265,0.36405253
1076,-0.022700664,-0.02921473,0.007406492,-0.0030498106,-0.019087816,0.27394405,0.29520553
1081,-0.0012086208,-0.012079649,0.026416838,0.005488855,-0.0046218657,0.36516866,0.40414032
1082,-0.0019632622,-0.01273307,0.0032053231,-0.021558521,-0.035068743,0.28755832,0.24926496
1083,0.02354505,-0.02403681,0.030076686,0.012722165,-0.013142451,0.3716865,0.39457878
1085,-0.0014704164,0.063313626,-0.00941056,-0.016880183,0.009911832,0.39555845,0.37396166
1087,-0.008220048,0.024951402,0.006095456,0.011490341,0.014945494,0.41881502,0.536486
1088,-0.0077509084,0.0633951,-0.0051185796,-0.015232984,0.006626991,0.37302867,0.22974843
1090,-0.021360075,0.011253312,-0.017661542,-0.011532946,0.0059912913,0.31536153,0.26412335
1092,0.0022772045,0.064166784,0.014921689,-0.00066884136,0.012989128,0.48763576,0.5318478
1094,-0.007814254,-0.0136036035,0.02119734,-0.0291778,-0.037924748,0.29422238,0.33050156
1095,-0.02223474,-0.006996075,0.0012285314,-0.028364934,0.002714463,0.2766749,0.20714474
1096,-0.0014471319,0.059617434,-0.00058628427,-0.01713265,0.010372671,0.3759422,0.49140137
1098,0.00288104,0.070738286,0.006756332,-0.003938977,0.010485122,0.45100987,0.3532081
1099,-0.0020710153,-0.01837822,0.0058281063,0.002474157,-0.034671534,0.31229687,0.26035
1100,-0.021149462,0.021881292,-0.014506725,-0.025833333,0.009633255,0.3308981,0.3920379
